Fecha,Hora,AE_kWh
19/01/2023,23,"0,168"
19/01/2023,24,"0,156"
20/01/2023,1,"1,106"
20/01/2023,2,"0,629"
20/01/2023,3,"1,275"
20/01/2023,4,"0,953"
20/01/2023,5,"1,049"
20/01/2023,6,"1,685"
20/01/2023,7,"2,772"
20/01/2023,8,"2,663"
20/01/2023,9,"2,580"
20/01/2023,10,"2,881"
20/01/2023,11,"2,345"
20/01/2023,12,"1,396"
20/01/2023,13,"1,051"
20/01/2023,14,"0,878"
20/01/2023,15,"1,881"
20/01/2023,16,"2,013"
20/01/2023,17,"1,566"
20/01/2023,18,"1,571"
20/01/2023,19,"2,721"
20/01/2023,20,"1,551"
20/01/2023,21,"2,589"
20/01/2023,22,"1,992"
20/01/2023,23,"0,224"
20/01/2023,24,"0,391"
21/01/2023,1,"1,998"
21/01/2023,2,"2,727"
21/01/2023,3,"3,613"
21/01/2023,4,"3,677"
21/01/2023,5,"0,442"
21/01/2023,6,"2,020"
21/01/2023,7,"2,637"
21/01/2023,8,"2,609"
21/01/2023,9,"2,609"
21/01/2023,10,"2,557"
21/01/2023,11,"2,660"
21/01/2023,12,"2,590"
21/01/2023,13,"2,587"
21/01/2023,14,"2,578"
21/01/2023,15,"2,551"
21/01/2023,16,"2,596"
21/01/2023,17,"2,613"
21/01/2023,18,"2,632"
21/01/2023,19,"2,576"
21/01/2023,20,"2,338"
21/01/2023,21,"2,160"
21/01/2023,22,"2,697"
21/01/2023,23,"2,750"
21/01/2023,24,"0,680"
22/01/2023,1,"2,676"
22/01/2023,2,"1,270"
22/01/2023,3,"1,052"
22/01/2023,4,"2,695"
22/01/2023,5,"1,794"
22/01/2023,6,"2,390"
22/01/2023,7,"1,975"
22/01/2023,8,"2,142"
22/01/2023,9,"2,306"
22/01/2023,10,"2,001"
22/01/2023,11,"1,576"
22/01/2023,12,"1,615"
22/01/2023,13,"4,578"
22/01/2023,14,"2,549"
22/01/2023,15,"1,553"
22/01/2023,16,"1,966"
22/01/2023,17,"2,437"
22/01/2023,18,"2,574"
22/01/2023,19,"2,479"
22/01/2023,20,"1,718"
22/01/2023,21,"2,557"
22/01/2023,22,"4,460"
22/01/2023,23,"0,631"
22/01/2023,24,"0,253"
23/01/2023,1,"0,369"
23/01/2023,2,"0,654"
23/01/2023,3,"1,167"
23/01/2023,4,"1,196"
23/01/2023,5,"1,410"
23/01/2023,6,"1,368"
23/01/2023,7,"2,534"
23/01/2023,8,"2,567"
23/01/2023,9,"2,753"
23/01/2023,10,"3,153"
23/01/2023,11,"0,835"
23/01/2023,12,"0,694"
23/01/2023,13,"2,482"
23/01/2023,14,"0,713"
23/01/2023,15,"2,101"
23/01/2023,16,"1,756"
23/01/2023,17,"1,891"
23/01/2023,18,"2,663"
23/01/2023,19,"2,460"
23/01/2023,20,"2,600"
23/01/2023,21,"2,574"
23/01/2023,22,"1,890"
23/01/2023,23,"2,725"
23/01/2023,24,"0,252"
24/01/2023,1,"0,891"
24/01/2023,2,"1,381"
24/01/2023,3,"1,545"
24/01/2023,4,"1,043"
24/01/2023,5,"2,104"
24/01/2023,6,"2,569"
24/01/2023,7,"2,902"
24/01/2023,8,"3,527"
24/01/2023,9,"2,614"
24/01/2023,10,"2,196"
24/01/2023,11,"1,573"
24/01/2023,12,"0,769"
24/01/2023,13,"2,039"
24/01/2023,14,"0,969"
24/01/2023,15,"1,585"
24/01/2023,16,"3,535"
24/01/2023,17,"2,778"
24/01/2023,18,"2,715"
24/01/2023,19,"2,682"
24/01/2023,20,"2,647"
24/01/2023,21,"3,466"
24/01/2023,22,"5,157"
24/01/2023,23,"4,674"
24/01/2023,24,"1,051"
25/01/2023,1,"0,631"
25/01/2023,2,"1,365"
25/01/2023,3,"1,326"
25/01/2023,4,"1,225"
25/01/2023,5,"1,640"
25/01/2023,6,"2,611"
25/01/2023,7,"2,610"
25/01/2023,8,"2,543"
25/01/2023,9,"2,587"
25/01/2023,10,"3,112"
25/01/2023,11,"2,974"
25/01/2023,12,"2,855"
25/01/2023,13,"1,314"
25/01/2023,14,"1,698"
25/01/2023,15,"1,918"
25/01/2023,16,"2,835"
25/01/2023,17,"1,918"
